Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department for the Aging,Case Management Agency Complaint,no description,,No,Address Unknown,0,0,case management agency complaint no description,Department of Consumer Affairs
Department for the Aging,Case Management Agency Complaint,no description,,No,Senior Address,0,0,case management agency complaint no description,Department of Consumer Affairs
Department for the Aging,Elder Abuse,no description,,No,Senior Address,0,0,elder abuse no description,Department for the Aging
Department for the Aging,Eviction,Homebound Senior,,No,Address Unknown,0,0,eviction homebound senior,Department for the Aging
Department for the Aging,Eviction,Mobile Senior,,No,Address Unknown,0,0,eviction mobile senior,Department for the Aging
Department for the Aging,Eviction,Mobile Senior,,No,Senior Address,0,0,eviction mobile senior,Department for the Aging
Department for the Aging,Eviction,Homebound Senior,,No,Senior Address,0,0,eviction homebound senior,Department for the Aging
Department for the Aging,HEAP Assistance,no description,,No,Address Unknown,0,0,heap assistance no description,Human Resources Administration
Department for the Aging,HEAP Assistance,no description,,No,Senior Address,0,0,heap assistance no description,Human Resources Administration
Department for the Aging,Home Delivered Meal - Missed Delivery,no description,,No,Address Unknown,0,0,home delivered meal - missed delivery no description,Department of Consumer Affairs
Department for the Aging,Home Delivered Meal - Missed Delivery,no description,,No,Senior Address,0,0,home delivered meal - missed delivery no description,Department of Consumer Affairs
Department for the Aging,Home Repair,Apartment,,No,Senior Address,0,0,home repair apartment,Department of Consumer Affairs
Department for the Aging,Home Repair,House,,No,Senior Address,0,0,home repair house,Department of Consumer Affairs
Department for the Aging,Legal Services Provider Complaint,no description,,No,Address Unknown,0,0,legal services provider complaint no description,Taxi and Limousine Commission
Department for the Aging,Legal Services Provider Complaint,no description,,No,Service Provider,0,0,legal services provider complaint no description,Taxi and Limousine Commission
Department for the Aging,Utility Program,no description,,No,Address Unknown,0,0,utility program no description,Department of Buildings
Department for the Aging,Utility Program,no description,,No,Senior Address,0,0,utility program no description,Department of Buildings
Department for the Aging,Weatherization,no description,,No,Senior Address,0,0,weatherization no description,Department for the Aging
Department of Buildings,Abandoned Building,Not Closed/Sealed,,Yes,Building,1,1,abandoned building not closed/sealed,Department of Transportation
Department of Buildings,Adult Establishment,Zoning Violation,Near Church/School,Yes,Building,1,1,adult establishment zoning violation,Department of Buildings
Department of Buildings,Adult Establishment,Zoning Violation,Illegal Business,Yes,Building,1,1,adult establishment zoning violation,Department of Buildings
Department of Buildings,Adult Establishment,Zoning Violation,Illegal Hours,Yes,Building,1,1,adult establishment zoning violation,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Inappropriate Picture,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Inappropriate Symbol,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
Department of Buildings,Advertising Sign,Billboard,Inappropriate Wording,Yes,Sign Location,1,1,advertising sign billboard,Department of Buildings
